Group,Test,Abbreviation or symbol,Test parameters,Default test method,Sample type,Field sample mass (kg) (6 x ?Dmax (mm) x loose bulk density (Mg/m3)),Test specimen type mass and number,Mass (kg),Number,Max grain size D(max) (mm),Fraction d/D,Scheduling notes
Physical & Geometrical Properties,Water content,w,NULL,BS EN 1097-5:2008,Bulk (loose material),NULL,Bulk,0.2 0.2Dmax,1,<1 >1,NULL,NULL
Physical & Geometrical Properties,Particle size distribution,%fines G,NULL,BS EN 933-1:2012,Bulk (loose material),NULL,Bulk,1 2 3 30 80,1,4 8 16 32 90,NULL,NULL
Physical & Geometrical Properties,Flakiness index,FI,NULL,BS EN 933-3:2012,Bulk (loose material),NULL,Bulk,5 10 20 40 80,NULL,8 16 32 63 100,4/100,NULL
Physical & Geometrical Properties,Methylene blue,MB,NULL,BS EN 933-9:2022,Bulk (loose material),NULL,Bulk,0.2 0.03,2,2 0.125,0/2 0/0.125,NULL
Physical & Geometrical Properties,Bulk density & voids,?b v,NULL,BS EN 1097-3:1998,Bulk (loose material),NULL,Bulk,2 8 15 30,3,4 16 32 63,NULL,NULL
Physical & Geometrical Properties,Particle density & water absorption,?a ?rd ?ssd Wa24,NULL,BS EN 1097-6:2022,Bulk (loose material),NULL,Bulk,0.5 1 2 5 7 15,1,4 8 16 32 45 63,0/4 4/32 32/63,Define the fraction to be tested
Physical & Geometrical Properties,Constituents of recycled aggregates,Rc Ru Rb Ra Rg X,NULL,BS EN 933-11:2009,Bulk (loose material),NULL,Bulk,20 50,1,32 63,4/63,NULL
Physical & Geometrical Properties,Metal content of municipal incinerator bottom ash aggregates,PF PNF,NULL,BS EN 1744-8:2012,Bulk (loose material),NULL,Bulk,NULL,NULL,NULL,NULL,NULL
Strength & Durability,Resistance to wear (micro-Deval coefficient),MDE MDS MDRB,Micro-Deval coefficient,BS EN 1097-1:2023,Bulk (loose material),NULL,Bulk,0.5,2,NULL,10/14,alternative fractions are 0.2/2 0.2/4 0.2/5.6 4/6.3 4/8 6.3/10 8/11.2 and 11.2/16
Strength & Durability,Resistance to fragmentation (Los Angeles coefficient) ,LA LARB,LA coefficient,BS EN 1097-2:2020,Bulk (loose material),NULL,Bulk,15,1,NULL,10/14,alternative fractions are 4/6.3 4/8 6.3/10 8/11.2 and 11.2/16
Strength & Durability,Magnesium sulphate value,MS,Magnesium sulphate value,BS 1367-2:2009,Bulk (loose material),NULL,Bulk,0.5,2,NULL,10/14,Alternative fractions are 20/28 14/20 6/10 5/6 3/5 2/3 1/2 and 0.3/0.6
Strength & Durability,Aggregate crushing value,ACV,Aggregate crushing value,BS 812:110,Bulk (loose material),NULL,Bulk,45 60,3,20 40,10/14,NULL
Strength & Durability,Ten percent fines value ,TFV,Ten percent fines value ,BS 812:111,Bulk (loose material),NULL,Bulk,45 60,3,20 40,NULL,NULL
Strength & Durability,Aggregate abrasion value ,AAV,Aggregate abrasion value ,BS EN 1097-8:2020,Bulk (loose material),NULL,Bulk,2,2,NULL,10/14,NULL
Strength & Durability,Polished stone value ,PSV,Polished stone value ,BS EN 1097-8:2020,Bulk (loose material),NULL,Bulk,2,2,NULL,10/14,NULL
Chemical & Petrography,Water-soluble chloride content,C,Water-soluble chloride content,BS EN 1744-1:8 (2009+A1:2012),Bulk (loose material),NULL,Bulk,5 15 35 50,2,22 32 45 63,NULL,NULL
Chemical & Petrography,Acid-soluble chloride content,C,Acid-soluble chloride content,BS EN 1744-1:9 (2009+A1:2012),Bulk (loose material),NULL,Bulk,NULL,2,NULL,NULL,NULL
Chemical & Petrography,Water-soluble sulphate content,soluble SO3,Water-soluble sulphate content,BS EN 1744-1:10 (2009+A1:2012),Bulk (loose material),NULL,Bulk,NULL,2,NULL,NULL,NULL
Chemical & Petrography,Total sulphur,S,Total sulphur,BS EN 1744-1:11 (2009+A1:2012),Bulk (loose material),NULL,Bulk,NULL,2,NULL,NULL,NULL
Chemical & Petrography,Acid-soluble sulphate content,sulphate content,Acid-soluble sulphate content,BS EN 1744-1:12 (2009+A1:2012),Bulk (loose material),NULL,Bulk,NULL,2,NULL,NULL,NULL
Chemical & Petrography,Acid-soluble sulphide ,S,Acid-soluble sulphide ,BS EN 1744-1:13 (2009+A1:2012),Bulk (loose material),NULL,Bulk,NULL,2,NULL,NULL,NULL
Chemical & Petrography,Carbonate content,CaO CO2,Carbonate content,BS EN 196-2:2013,Bulk (loose material),NULL,Bulk,NULL,2,NULL,NULL,NULL
Chemical & Petrography,Lightweight contaminators,mLPC,Lightweight contaminators,BS EN 1744-1:14.2 (2009+A1:2012),Bulk (loose material),NULL,Bulk,NULL,2,NULL,NULL,NULL
Chemical & Petrography,Humus content,NULL,Humus content,BS EN 1744-1:15.1  (2009+A1:2012),Bulk (loose material),NULL,Bulk,NULL,2,NULL,NULL,NULL
Chemical & Petrography,Fulvo acid content,NULL,Fulvo acid content,BS EN 1744-1:15.2 (2009+A1:2012),Bulk (loose material),NULL,Bulk,NULL,2,NULL,NULL,NULL
Chemical & Petrography,Petrography,NULL,Mineral characterisation & lithology,BS EN 932-3:2022,Bulk (loose material),NULL,Bulk,0.5 2 8 25 50,1,4 8 16 32 63,NULL,NULL
Chemical & Petrography,SEM/EDS,NULL,Mineral characterisation,NULL,Bulk (loose material),NULL,Bulk,0.2,1,NULL,NULL,NULL
Chemical & Petrography,Powder XRD,NULL,Mineral characterisation,NULL,Bulk (loose material),NULL,Bulk,0.2,1,NULL,NULL,NULL
