Group,Test,Abbreviation or symbol,Test parameters,Default test method,Alternative 1,Alternative 2,Alternative 3,Sample type (Intact or disturbed),Field sample mass (kg,Type,Mass (kg),Number ,Diameter (mm),Length (mm),Width (mm),Height (mm),Max grain size (Dmax),Fraction (d/D),Notes
Hardness,Degradability coefficient,DG,Degradability coefficient,BS EN 17542-1,NULL,NULL,NULL,Intact or disturbed,10,Disturbed,2,NULL,NULL,NULL,NULL,NULL,NULL,"10/20 or
40/80","If field sample is intact, it needs to be crushed"
Hardness,Fragmentability coefficient,FR,Fragmentability coefficient,BS EN 17452-2,NULL,NULL,NULL,Intact or disturbed,10,Disturbed,2,NULL,NULL,NULL,NULL,NULL,NULL,"10/20 or
40/80","If field sample is intact, it needs to be crushed"
Fines,Methylene blue value,VBS,Methylene blue value,BS EN 17452-3,NULL,NULL,NULL,Intact or disturbed,40,Disturbed,10,NULL,NULL,NULL,NULL,NULL,50,0/5,"If field sample is intact, it needs to be crushed"
Compaction,Proctor test A,2.5kg_1L,"Maximum dry density, optimum water content, air voids",BS EN 13286-2,NULL,NULL,NULL,Disturbed,15,Disturbed,2.5,5,105,NULL,NULL,115,16,NULL,0% retained on 16 mm sieve
Compaction,Proctor test B,2.5kg_2L,"Maximum dry density, optimum water content, air voids",BS EN 13286-2,NULL,NULL,NULL,Disturbed,40,Disturbed,6,5,152,NULL,NULL,127,31.5,NULL,"0-25% retained between 16 mm and 31.5 mm or
0-25% retained between 31.5 mm and 63 mm"
Compaction,Modified Proctor test A,4.5kg_1L,"Maximum dry density, optimum water content, air voids",BS EN 13286-2,NULL,NULL,NULL,Disturbed,15,Disturbed,2.5,5,105,NULL,NULL,115,16,NULL,0% retained on 16 mm sieve
Compaction,Modified Proctor test B,4.5kg_2L,"Maximum dry density, optimum water content, air voids",BS EN 13286-2,NULL,NULL,NULL,Disturbed,40,Disturbed,6,5,152,NULL,NULL,127,31.5,NULL,"0-25% retained between 16 mm and 31.5 mm or
0-25% retained between 31.5 mm and 63 mm"
Compaction,Vibrating hammer compaction,VH,"Maximum dry density, optimum water content, air voids",BS EN 13286-4,NULL,NULL,NULL,   ,40,Disturbed,6,5,152,NULL,NULL,127,40,NULL,"0-10% retained on the 40 mm sieve and
0-30% retained on the 20 mm sieve"
Compaction,Moisture condition value,MCV,NULL,BS EN 13286-46,NULL,NULL,NULL,Disturbed,NULL,Disturbed,6,1,100,NULL,NULL,200,20,NULL,NULL
Strength,California bearing ratio,CBR,Bearing capacity,BS EN 13286-47,NULL,NULL,NULL,Disturbed,30,Disturbed,7.5,1,152,NULL,NULL,127,22.4,NULL,"Define compactive effort and surcharge weights (typically 2.5 kg or 4.5 kg) and soaking time (e.g. hours or days, or end-of-swelling criterion other than default) for soaked CBRs"
Strength,Immediate bearing index,IBI,Bearing capacity,BS EN 13286-47,NULL,NULL,NULL,Disturbed,30,Disturbed,7.5,1,152,NULL,NULL,127,22.4,NULL,Define compactive effort; no surcharge  weights are needed
Stabilisation,Initial lime content,ICL,pH25,BS 1924-2 (2018),NULL,NULL,NULL,Disturbed,1,Disturbed,0.2,1,NULL,NULL,NULL,NULL,0.425,NULL,NULL
,Pulverisation,p,Degree of pulverisation,BS EN 13286-48,NULL,NULL,NULL,Disturbed,1,Disturbed,1,1,NULL,NULL,NULL,NULL,5.6,NULL,NULL
