Group,Test,Abbreviation or symbol,Test parameters,Default test method,Alternative 1,Alternative 2,Alternative 3,Sample type,Field sample mass,"Test specimen type, mass and number",,,Test specimen dimensions & grain size requirements,,,,,
,,,,,,,,"Intact (right circular cylinder or rectangular block)

Disturbed (loose material in bags)","3 x Dmax or 
4 x test specimen mass",type,mass,number,Diameter (D),Length (L),Width (W),Height (H),Max grain size (Dmax),Fraction
,,,,,,,,,kg,,kg,,mm,mm,mm,mm,mm,d/D
Classification & shrinkage,Split & describe,S&D,Soil description,BS EN ISO 14688-1 & 2,,,,Intact or disturbed,,,,,,,,,,
,Water Content,WC,water content,BS EN ISO 17892-1,,,,Intact or disturbed,2-60,,0.5-15,1,,,,,,
,Atteberg limits,AL,"liquid limit, plastic limit, plasticity index",BS EN ISO 17892-12,,,,Intact or disturbed,2,,0.5,1,,,,,0.400 or 0.425,
,Methylene blue,MBV,methylene blue value,BS EN 933-9:2002,,,,Intact or disturbed,2,,0.5,1,,,,,0.125 or 0.2,0/125 or 0/0.2
,Linear shrinkage,LS,Linear shrinkage,BS 1377-2:7 (2022),,,,Intact or disturbed,2,,0.5,1,,140,40,20,0.425,
,Particle size analysis by sieving,PSAs,"%fines, %sand, %gravel, uniformity coefficient, curvature coefficient, D60, D10",BS EN ISO 17892-4,,,,Intact or disturbed,2-80,,0.2-20,1,,,,,0-125,
,Particle size analysis by sedimentation,PSAf,"%silt, %clay",,,,,Intact or disturbed,1,,0.2,1,,,,,2,
,Particle Density,PD,"particle density, specific gravity",BS EN ISO 17892-3,,,,Intact,5,,0.5,2,,,,,4 or 37.5,
,Bulk density ,BD,"Bulk density (wet & dry), unit weight",BS EN ISO 17892-2,,,,Intact,"0.8
2
4
12",Intact,"0.2
0.5
1
3",1,"38
50
70
100",,,(1.0-2.0)D,,
,Saturated moisture content & intact dry density,SMC,"Saturated moisture content, intact dry density",BS 1377-2:4.2 (2022),,,,Lumps,4,Lumps,1,1,,,,,,
,Filter paper,FP,Suction,BRE IP4/93,,,,Intact,"3 x Dmax or 
4 x test specimen mass",Intact,,1,70 or 100,,,2,,
Electrochemical - Corrosivity,Redox potential,RP,redox potential,Subcontracted,,,,Disturbed,"3 x Dmax or 
4 x test specimen mass",,,1,,,,,,
,Electrical Resistivity (4 electrodes),ER4,electrical resistivity,BS 1377-3:13 (2018),ASTM G57-20,,,Intact or disturbed,"3 x Dmax or 
4 x test specimen mass","Intact, reconstituted, remoulded",,1,,,,,,
