Group,Test,Symbol,Parameter,TestMethod,Alt1,Alt1,Alt3,SampleType,FieldSampleMass,SpecimenType,SpecimenMass,SpecimenNumbers,SpecimenD,SpecimenL,SpecimenW,SpecimenH,SpecimenMaxGrainSize,SpecimenMaxGrainFraction
Classification & shrinkage,Split & describe,S&D,Soil description,BS EN ISO 14688-1 & 2,NULL,NULL,NULL,Intact or disturbed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Classification & shrinkage,Water Content,WC,water content,BS EN ISO 17892-1,NULL,NULL,NULL,Intact or disturbed,2-60,NULL,0.5-15,1,NULL,NULL,NULL,NULL,NULL,NULL
Classification & shrinkage,Atteberg limits,AL,liquid limit plastic limit plasticity index,BS EN ISO 17892-12,NULL,NULL,NULL,Intact or disturbed,2,NULL,0.5,1,NULL,NULL,NULL,NULL,0.400 or 0.425,NULL
Classification & shrinkage,Methylene blue,MBV,methylene blue value,BS EN 933-9:2002,NULL,NULL,NULL,Intact or disturbed,2,NULL,0.5,1,NULL,NULL,NULL,NULL,0.125 or 0.2,0/125 or 0/0.2
Classification & shrinkage,Linear shrinkage,LS,Linear shrinkage,BS 1377-2:7 (2022),NULL,NULL,NULL,Intact or disturbed,2,NULL,0.5,1,NULL,140,40,20,0.425,NULL
Classification & shrinkage,Particle size analysis by sieving,PSAs,%fines %sand %gravel uniformity coefficient curvature coefficient D60 D10,BS EN ISO 17892-4,NULL,NULL,NULL,Intact or disturbed,2-80,NULL,0.2-20,1,NULL,NULL,NULL,NULL,0-125,NULL
Classification & shrinkage,Particle size analysis by sedimentation,PSAf,"%silt, %clay",,NULL,NULL,NULL,Intact or disturbed,1,NULL,0.2,1,NULL,NULL,NULL,NULL,2,NULL
Classification & shrinkage,Particle Density,PD,particle density specific gravity,BS EN ISO 17892-3,NULL,NULL,NULL,Intact,5,NULL,0.5,2,NULL,NULL,NULL,NULL,4 or 37.5,NULL
Classification & shrinkage,Bulk density ,BD,Bulk density (wet & dry) unit weight,BS EN ISO 17892-2,NULL,NULL,NULL,Intact,0.8 2 4 12,Intact,0.2 0.5 1 3,1,38 50 70 100,NULL,NULL,(1.0-2.0)D,NULL,NULL
Classification & shrinkage,Saturated moisture content & intact dry density,SMC,Saturated moisture content intact dry density,BS 1377-2:4.2 (2022),NULL,NULL,NULL,Lumps,4,Lumps,1,1,NULL,NULL,NULL,NULL,NULL,NULL
Classification & shrinkage,Filter paper,FP,Suction,BRE IP4/93,NULL,NULL,NULL,Intact,3 x Dmax or 4 x test specimen mass,Intact,NULL,1,70 or 100,NULL,NULL,2,NULL,NULL
Electrochemical - Corrosivity,Redox potential,RP,redox potential,Subcontracted,NULL,NULL,NULL,Disturbed,3 x Dmax or 4 x test specimen mass,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
Electrochemical - Corrosivity,Electrical Resistivity (4 electrodes),ER4,electrical resistivity,BS 1377-3:13 (2018),ASTM G57-20,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,Intact reconstituted remoulded,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
Electrochemical - Corrosivity,Electrical Resistivity (2 electrodes),ER2,electrical resistivity,ASTM G187-23,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,Intact reconstituted remoulded,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
Electrochemical - Corrosivity,Thermal resistivity,TR,thermal resistivity thermal conductivity heat capacity,ASTM D5334-22ae1,IEE 422-2017,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,Intact reconstituted remoulded,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
Chemical,pH value,pH,pH,Subcontracted,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL
Chemical,Water-soluble sulphate in soil,WS,water-soluble SO4,,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL
Chemical,Sulphate in groundwater,GWS,SO4 in groundwater,,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL
Chemical,Acid-soluble sulphate in soil,AS,acid-soluble SO4,,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL
Chemical,Total sulphur,TS,total sulphur,,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL
Chemical,Total sulphide (reduced sulphur) in soil,TRS,total sulphide,,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL
Chemical,Acid-soluble sulphide in soil,MS,acid-soluble sulphide,,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL
Chemical,Organic content,OC,organic matter,,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL
Chemical,Loss on ignition,LOI,organic matter,,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL
Chemical,Chloride in soil & groundwater,Cl,chloride,,NULL,NULL,NULL,Intact or disturbed,3 x Dmax or 4 x test specimen mass,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL
