Group,Classification,Test,testAlsoKnownAs,Symbol,Parameter,TestMethod,Alt1,Alt1,Alt3,SampleType,FieldSampleMass,SpecimenType,SpecimenMass,SpecimenNumbers,SpecimenD,SpecimenL,SpecimenW,SpecimenH,SpecimenMaxGrainSize,SpecimenMaxGrainFraction,Scheduling notes,Database,imagePath
Index properties,NULL,Geotechnical description,NULL,S&D,NULL,BS EN ISO 14689-2:2018,NULL,NULL,NULL,Intact or disturbed,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rocks,NULL
Index properties,K124,Water content,NULL,rWC,water content,ISRM SM 1974–2006,NULL,NULL,NULL,Intact or disturbed,NULL,Pieces of core or irregular ,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rocks,NULL
Index properties,K125/K126,Porosity & density ,NULL,rBD,bulk density (wet & dry) / unit weight (wet & dry) / porosity,ISRM SM 1974–2006,NULL,NULL,NULL,Intact,NULL,Pieces of core or irregular ,NULL,1,35-100,NULL,NULL,(0.5-2.5)D,NULL,NULL,NULL,rocks,NULL
Index properties,K141,P- and S-wave velocity,NULL,PnS,shear wave velocity / compression wave velocity / Young's modulus / Poisson's ratio,ASTM D2845-08,NULL,NULL,NULL,Intact,NULL,Core or rectangular pieces,NULL,1,≥50,≥50,≥50,≥50,D /10,NULL,NULL,rocks,NULL
Strength,NULL,Point load index ,NULL,PLI,point load index / compressive strength,ISRM SM 1974–2006,NULL,NULL,NULL,Intact,NULL,Core or rectangular pieces,NULL,1-10,30-100,>0.5D,(0.3-1.0)D,-,NULL,NULL,Define number of specimens / i.e. 10 or one,rocks,NULL
Strength,K139,Uniaxial compressive strength,NULL,UCS,compressive strength,ISRM SM 1974–2006,NULL,NULL,NULL,Intact,NULL,Right circular cylinder,NULL,1,50-100,NULL,NULL,(2.5-3.0)D,D /10,NULL,NULL,rocks,NULL
Strength,NULL,Uniaxial compression with Young's modulus & Poisson's ratio,NULL,UCS & YMPR,compressive strength / axial & radial strain / Young's modulus / Poisson's ratio,ISRM SM 1974–2006,ASTM D7012-23,NULL,NULL,Intact,NULL,Right circular cylinder,NULL,1,100,NULL,NULL,(2.5-3.0)D,D /10,NULL,NULL,rocks,NULL
Strength,K143,Triaxial compression ,NULL,TCS,compressive strength,ISRM SM 1974–2006,ASTM D7012-23,NULL,NULL,Intact,NULL,Right circular cylinder,NULL,1 or 3,54,NULL,NULL,(2.0-3.0)D,D /10,NULL,Test one specimen at 1.0 x σ′vo Test three specimens at 0.5 x σ′vo / 1.0 x σ′vo and 2.0 x σ′vo,rocks,NULL
Strength,NULL,Triaxial compression with Young's modulus & Poisson's ratio,NULL,TCS & YMPR,compressive strength / axial & radial strain / Young's modulus / Poisson's ratio,ISRM SM 1974–2006,ASTM D7012-23,NULL,NULL,Intact,NULL,Right circular cylinder,NULL,1,NULL,NULL,NULL,NULL,D /10,NULL,Test one specimen at 1.0 x σ′vo,rocks,NULL
Strength,K142,Indirect tensile strength,NULL,ITS,tensile strength,ISRM SM 1974–2006,ASTM D3967-16,NULL,NULL,Intact,NULL,Disk,NULL,1-10,54,NULL,NULL,(0.20-0.75)D,D /10,NULL,NULL,rocks,NULL
Strength,K146,Rock shear under constant normal force (CNF) or constant normal stiffness (CNS),NULL,rDS,shear strength,ASTM D5706-16,ISRM SM 1974–2006,NULL,NULL,Intact,NULL,Right circular cylinder,NULL,1 or 3,50-100,NULL,NULL,2D,D /10,NULL,Under CNF conditions / test three specimens at 0.5 x σ′vo / 1.0 x σ′vo and 2.0 x σ′vo Under CNS conditions / test one specimen at σ'vo and define the stiffness rate (kPa /min),rocks,NULL
Abrasivity - Durability,K131,CERCHAR abrasivity index,NULL,CAI,abrasivity,ISRM SM 2007–2014,ASTM D7625-10,NULL,NULL,Intact,NULL,Right circular cylinder,NULL,1,≥50,≥50,≥50,≥50,NULL,NULL,Wet or dry / or both,rocks,NULL
Abrasivity - Durability,K134,Rock abrasiveness using a rotating tool,NULL,Abr,abrasivity,In-house based on NF P18–579:2013,NULL,NULL,NULL,Disturbed,NULL,Crushed,0.5,1,NULL,NULL,NULL,NULL,NULL,4 /6.3,Define if abrasivity & breakability are to be tested or only abrasivity ,rocks,NULL
Abrasivity - Durability,K147,Swelling (pressure or axial strain),NULL,SP,swelling potential,ISRM SM 1974–2006,NULL,NULL,NULL,Intact or disturbed,NULL,Right circular cylinder or powder,0.2,1,35-75,NULL,-,2D,H /6,NULL,NULL,rocks,NULL
Abrasivity - Durability,K130,Schimdt hammer,NULL,SH,hardness / compressive strength,ISRM SM revised / Int J Rock Mech Mining Sci (2008),NULL,NULL,NULL,Intact,NULL,Right circular cylinder or blocks, ,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rocks,NULL
Abrasivity - Durability,K127,Slaking (rock),NULL,RS,durability,In-house,NULL,NULL,NULL,Disturbed,NULL,Lumps,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rocks,NULL
Abrasivity - Durability,K127,Slake durability,NULL,SD,durability,ISRM SM 1974–2006,ASTM D4644-16,NULL,NULL,Disturbed,NULL,Lumps,0.5,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rocks,NULL
Abrasivity - Durability,K132,Los Angeles,NULL,LAV,durability / hardness,BS EN 1097-2,NULL,NULL,NULL,Disturbed,NULL,Crushed,10,1,NULL,NULL,NULL,NULL,NULL,10 /14,Other fractions are possible,rocks,NULL
Abrasivity - Durability,K128,Magnesium sulphate,NULL,MSV,durability,BS EN 1367-2,NULL,NULL,NULL,Disturbed,NULL,Crushed,0.5,2,NULL,NULL,NULL,NULL,NULL,10 /14,Other fractions are possible,rocks,NULL
Chemical - Mineralogy,K26,Thermal resistivity,NULL,TR,thermal resistivity / thermal conductivity / heat capacity,ASTM D5334-14,IEE 422-2017,NULL,NULL,Intact,NULL,Right circular cylinder,NULL,1,38-100,NULL,NULL,(1.0-2.0)D,NULL,NULL,NULL,rocks,NULL
Chemical - Mineralogy,K27,Electrical resistivity,NULL,ER,electrical resistivity,ASTM G187-18,NULL,NULL,NULL,Intact,NULL,Right circular cylinder,NULL,1,70 / 100,NULL,NULL,(1.0-2.0)D,NULL,NULL,NULL,rocks,NULL
Chemical - Mineralogy,NULL,Petrography (optical microscopy),NULL,OM,qualitative or quantitative mineral identification and lithological characterisation,Subcontracted,NULL,NULL,NULL,Intact or disturbed,NULL,NULL,0.05,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rocks,NULL
Chemical - Mineralogy,NULL,Scanning electron microscopy,NULL,SEM,mineral identification & composition,NULL,NULL,NULL,NULL,Intact or disturbed,NULL,NULL,0.05,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rocks,NULL
Chemical - Mineralogy,NULL,powder XRD,NULL,pXRD,mineral identification & percentages,NULL,NULL,NULL,NULL,Intact or disturbed,NULL,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rocks,NULL
Chemical - Mineralogy,NULL,clay XRD,NULL,clay XRD,clay minerals identification,NULL,NULL,NULL,NULL,Intact or disturbed,NULL,NULL,0.2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rocks,NULL
