Group,Classification,Test,testAlsoKnownAs,Abbreviation or symbol,Test parameters,Default test method,Sample type,Field sample mass (kg) (6 x ?Dmax (mm) x loose bulk density (Mg/m3)),Test specimen type mass and number,Mass (kg),Number,Max grain size D(max) (mm),Fraction d/D,Scheduling notes,databaseBelongsTo,imagePath,testDescription
Physical & Geometrical Properties,NULL,Water content,NULL,w,NULL,BS EN 1097-5:2008,Bulk (loose material),NULL,Bulk,0.2 0.2Dmax,1,<1 >1,NULL,NULL,aggregate,NULL,"Weigh wet specimen  then dry it in an oven at 105 ± 5 ⁰C  or 50 °C for heat-sensitive samples  and finally weigh the dry specimen"
Physical & Geometrical Properties,NULL,Particle size distribution,NULL,%fines G,NULL,BS EN 933-1:2012,Bulk (loose material),NULL,Bulk,1 2 3 30 80,1,4 8 16 32 90,NULL,NULL,aggregate,NULL,"A specimen of clean of fines (washed) and dry aggregate of known mass is separated through a series of sieves with progressively smaller openings. Once separated, the mass of particles retained on each sieve is weighed and compared to the total specimen mass. The cumulative percentages passing each sieve are reported in numerical and graphical form"
Physical & Geometrical Properties,NULL,Flakiness index,NULL,FI,NULL,BS EN 933-3:2012,Bulk (loose material),NULL,Bulk,5 10 20 40 80,NULL,8 16 32 63 100,4/100,NULL,aggregate,NULL,"The flakiness index of an aggregate sample is found by separating the flaky particles on bar sieves (Fig. 1) and expressing their mass as a percentage of the mass of a dry and clean (washed) test specimen\x The test is not applicable to materials passing the 4 mm test sieve or retained on the 80 mm test sieve\xThe flakiness index FI divides particles into flaky or nonflaky and is the ratio of the mass of flaky grains to the total mass of grains"
Physical & Geometrical Properties,K5,Methylene blue,NULL,MB,NULL,BS EN 933-9:2022,Bulk (loose material),NULL,Bulk,0.2 0.03,2,2 0.125,0/2 0/0.125,NULL,aggregate,NULL,"At least 200 g for the 0/2 mm fraction or 30 g for the 0/0.125 mm fraction are added to 500 ml of distilled water. The solution is stirred for 5 min at 600 rpm and 5 ml of methylene blue dye is added. Further stirring is carried out at reduced speed of 400 rpm. The methylene blue test is performed by taking one drop of suspension by means of a glass rod and depositing it on a filter paper. The stain formed should consist of a solid blue colour surrounded by a colourless wet zone. If a halo does not form, then methylene dye is added in doses of 5 ml. In addition, 30 g of kaolinite can be added to boost the halo appearance\xThe test is considered positive if a halo, consisting of a persistent light blue ring of about 1 mm in the wet zone, is formed. The end point of the test is confirmed by repeating the stain test at 1 min intervals for 5 min, without adding more dye solution\xThe methylene blue test quantifies the reactive, i.e. swelling clay fraction in the fines of an aggregate, by measuring the amount of methylene blue dye that it preferentially adsorbs; the non-swelling clay fraction, which is inert, is virtually non-adsorbent\x The methylene blue value MBV is proportional to the amount of clay minerals in the aggregates. The MBV for the 0/2 fraction is typically half of the MBV for the 0/0.125 fraction for the same material"
Physical & Geometrical Properties,K132,Bulk density & voids,NULL,BDV,NULL,BS EN 1097-3:1998,Bulk (loose material),NULL,Bulk,2 8 15 30,3,4 16 32 63,NULL,NULL,aggregate,NULL,NULL
Physical & Geometrical Properties,NULL,Particle density & water absorption,NULL,PD&WA,NULL,BS EN 1097-6:2022,Bulk (loose material),NULL,Bulk,0.5 1 2 5 7 15,1,4 8 16 32 45 63,0/4 4/32 32/63,Define the fraction to be tested,aggregate,NULL,"For coarse aggregates, the method requires the use of a wire basket or a large pycnometer (Fig. 1), whereas for fine aggregates the method requires the use of a pycnometer. The water absorption of a sample is the increase in mass of an oven-dried specimen when it is immersed in water, the greater the volume of voids in the sample the easier it is for water to penetrate it and the higher the water absorption\x or aggregates with grains between 4 mm and 63 mm, wash enough material to obtain 1-15 kg of a test specimen. Immerse the test specimen in water at 22 ± 3 ⁰C for 24 ± 0.5 h. Take the test specimen out of the water and weigh its surface-dry and saturated mass. Finally, oven-dry the specimen at 110 ± ⁰C and weigh its oven-dried mass\xFor aggregates with grains between 0.063 mm and 4 mm, wash enough material to obtain 250-1,500 g of a test specimen without fines. Place the test specimen with de-aired water at 22 ± 3 ⁰C in a pycnometer and drive any excess air either by boiling or vacuum. Keep the pycnometer with water and specimen at 22 ± 3 ⁰C for 24 ± 0.5 h. Fill the pycnometer up to the volume mark, measure the water temperature, and weigh the pycnometer with the specimen and water. Empty the pycnometer. Use a sand cone to establish that the specimen is surface-dry and saturated. Weigh the surface-dry and saturated specimen mass, dry the specimen at 110 ± 5 ⁰C and then weigh it. Clean the pycnometer, fill with de-aired water up to the volume mark, measure the water temperature and weigh the pycnometer with water"
Physical & Geometrical Properties,NULL,Constituents of recycled aggregates,NULL,Rc Ru Rb Ra Rg X,NULL,BS EN 933-11:2009,Bulk (loose material),NULL,Bulk,20 50,1,32 63,4/63,NULL,aggregate,NULL,"Test method for examining, identifying and estimating the relative proportions of the constituents of coarse recycled aggregates between 4 mm and 63 mm ,Dry sample at 40 ± 5 ˚ C, or 110 ± 5 ˚ , if not temperature sensitive. Weigh and record the dry mass of the sample as M0. Weigh and record the mass of particles retained on the 63 mm sieve as M63, and then discard them. Weigh and record the mass of particles passing the 4 mm sieve as M4, and then discard them. Record the mass of the obtained test specimen as M1 , Separate and retain clay and soil particles from the 4/63 test specimen fraction. Immerse the rest of the test specimen into a tank filled with water to collect and separate the floating particles, and determine their volume VFL in cm3\x Collect the non-floating particles and dry them at the same temperature as before. Spread the particles on a flat surface and separate by hand particles identified as clay and soil, ferrous and non-ferrous metals, non-floating wood, plastic and rubber, and gypsum plaster. Combine them with the initially sorted soil and clay particles, and weigh and record the combined mass as MX"
Physical & Geometrical Properties,NULL,Metal content of municipal incinerator bottom ash aggregates,NULL,PF PNF,NULL,BS EN 1744-8:2012,Bulk (loose material),NULL,Bulk,NULL,NULL,NULL,NULL,NULL,aggregate,NULL,NULL
Strength & Durability,K133,Resistance to wear (micro-Deval coefficient),NULL,MDE MDS MDRB,Micro-Deval coefficient,BS EN 1097-1:2023,Bulk (loose material),NULL,Bulk,0.5,2,NULL,10/14,alternative fractions are 0.2/2 0.2/4 0.2/5.6 4/6.3 4/8 6.3/10 8/11.2 and 11.2/16,aggregate,NULL,"A 500 g test specimen (M) is loaded into a hollow steel container, which rotates at 100 rpm for 2 h, with 5,000 g of 10 mm steel balls and 2.5 L of water; alternatively, the test can be run dry, without water\x The mass retained on the 1.6 mm after testing (m) is determined by screening, and the micro-Deval value is given by using the equation 100 x (M – m)/M\xThe test is a measurement of the resistance to wear, and the wet MD value is approximately twice the dry MD value"
Strength & Durability,MULL,Resistance to fragmentation (Los Angeles coefficient) ,NULL,LA LARB,LA coefficient,BS EN 1097-2:2020,Bulk (loose material),NULL,Bulk,15,1,NULL,10/14,alternative fractions are 4/6.3 4/8 6.3/10 8/11.2 and 11.2/16,aggregate,NULL,"A test specimen (5 kg) is loaded into a hollow steel container, which rotates 500 times at 31-33 rpm for 15 – 16 min, with 11 spherical steel balls, each with a diameter of 45-49 mm and mass of 400-445 g, and total mass of 4,690-4,860 g\xFor rail ballast, use 12 steel balls and total mass of 5,210 ± 90 g\xFor recycled aggregates, use 14  steel balls and total mass of 5,810-6,010 g\xhe mass m retained on the 1.6 mm after testing is determined by screening, and the LA coefficient or value is given by the equation (5000 – m)/50\xFor railway ballast, the test is modified to test 5 kg of 32/40, together with 5 kg of 40/50. The specimens are placed in the cylinder with 12 steel balls and rotated for 1000 revolutions\xThe LA test is a measurement of the resistance to attrition. Aggregates with LA value of less than 30 (LA30) are considered strong and less than 45 generally hard"
