myGroup, classification, test, testAlsoKnownAs, symbol, parameters, testMethod, alt1, alt2, alt3, sampleType, fieldSampleMass,  specimenType, specimenMass, specimenNumbers, specimenD, specimenL, specimenW, specimenH, specimenMaxGrainSize, specimenMaxGrainFraction, databaseBelongsTo, imagePath,testDescription
Classification & shrinkage,NULL,Split & describe,Split+ Describe and Photograph,S&D,Soil description,BS EN ISO 14688-1 and -2:2018,NULL,NULL,NULL,Intact or disturbed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Classification & shrinkage,K1,Water Content,NULL,WC,water content,BS EN ISO 17892-1,NULL,NULL,NULL,Intact or disturbed,2-60,NULL,0.5-15,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,"Weigh wet specimen  then dry it in an oven at 105 ± 5 ⁰C  or 50 °C for heat-sensitive samples  and finally weigh the dry specimen"
Classification & shrinkage,K2/K3/K4,Atteberg limits,Liquid limit + plastic limit and plasticity index,AL,liquid limit plastic limit plasticity index,BS EN ISO 17892-12:2018+A2:2022,NULL,NULL,NULL,Intact or disturbed,2,NULL,0.5,1,NULL,NULL,NULL,NULL,0.400 or 0.425,NULL,database,NULL,“Liquid limit (wL) — the water content at which soil behaviour changes from the plastic to liquid state\nSpecimen is air dried  pulverized  and passed through the 0.425 mm or 0.400 mm sieve; then  it is mixed with distilled or deionised water and manually remoulded on a glass plate using spatulas to break the soil structure and eliminate air bubbles. It is then placed into dry cups of 50 mm D and 40 mm H at least and a standard cone of apex angle 60⁰ or 30° and mass of 60 g or 80 g is allowed to penetrate 10 mm or 20 mm  respectively  within 5 s by dropping it from the position of point contact with the specimen surface. Finally  the water content of the specimen is determined\nIn the four-point method  the above-mentioned procedure is repeated four times at four different water contents using the same specimen  then  the penetration against water content is plotted and the water content corresponding to the 10 mm or 20 mm penetration depth is estimated\nPlastic limit (wp) — the water content at which soil behaviour stops being plastic with further drying\nPartially air-dry 15-20 g from the LL test and form a ball  divide the ball into two equal portions and each portion to three sub-portions  roll each sub-portion by hand on the glass plate until soil threads with 3 m diameter begin to break apart. Finally determine the water content of the crumbled threads\nPlasticity index (IP) — wL - wP\nLinear shrinkage (ws) — water content  in percent  at which the volume of the soil mass ceases to change\nFill a 40 mm x 20 mm x 140 mm mould with soil  preferably at its liquid limit  remove any air pockets  level the soil along the top of the mould and remove all soil adhering to the rim  air dry slowly and complete the drying  first at <65 °C until shrinkage has largely ceased and then at 105 °C to 110 °C to complete the drying. When cool  measure the mean length of the soil bar\nAtterberg limits tests are not appropriate for non-plastic granular soil but they recommended for all plastic materials”
Classification & shrinkage,K5,Methylene blue,NULL,MBV,methylene blue value,BS EN 933-9:2022,NULL,NULL,NULL,Intact or disturbed,2,NULL,0.5,1,NULL,NULL,NULL,NULL,0.125 or 0.2,0/125 or 0/0.2,database,NULL,NULL
Classification & shrinkage,K7,Linear shrinkage,NULL,LS,Linear shrinkage,BS 1377-2:2022,NULL,NULL,NULL,Intact or disturbed,2,NULL,0.5,1,NULL,140,40,20,0.425,NULL,database,NULL,NULL
Classification & shrinkage,K11,Particle size analysis by sieving,Sieve Analysis,PSAs,%fines %sand %gravel uniformity coefficient curvature coefficient D60 D10,BS EN ISO 17892-4:2016,BS EN 933-1:2012,NULL,NULL,Intact or disturbed,2-80,NULL,0.2-20,1,NULL,NULL,NULL,NULL,0-125,NULL,database,public/testImages/PSD-fines-sieving.jpg,"Soil at the as-received water content or after air-drying to the water content of the plastic limit is quartered. Subsequently  the wet or air-dried sample is further reduced for the sieving and sedimentation tests; respectively  (Dmax/10)2 or 100 g to 200 for grains smaller than 2 mm\nAfter oven-drying  in the sieving test  the dried soil sub-sample is passed through a series of sieves  e.g. 63 mm  20 mm  10 mm  etc.  and the retained or passing material in each sieve is weighed\nFor the sedimentation tests  i.e. pipette or hydrometer test  prepare a solution of 25-30 g of soil passing the 0.063 mm sieve with distilled water and deflocculant (dispersing agent)\nIn the hydrometer test  the soil particles are allowed to settle in a 1000 ml volumetric cylinder  and the solution density is measured at 4 min  8 min  30 min  1 h  2 h  6 h and 24 h. In the pipette test  the soil particles are allowed to settle in a 500 ml volumetric cylinder  and a fixed volume of solution is collected three times from the same cylinder depth  e.g. 100 mm and the retrieved material is dried  and its mass is weighed; the three readings are taken at intervals of 3-5 min  30-60 min and 5-7 h  depending on particle density Sieving is not appropriate for fines-rich soils  but it is useful  particularly in clean and dirty granular materials  to quickly assess the fines content. The sedimentation tests help to assess the relative quantity of silt and clay in the fines"
Classification & shrinkage,K12/K13,Particle size analysis by sedimentation,Sedimentation Analysis,PSAf,"%silt, %clay",BS EN ISO 17892-4:2016,NULL,NULL,NULL,Intact or disturbed,1,NULL,0.2,1,NULL,NULL,NULL,NULL,2,NULL,database,NULL,NULL
Classification & shrinkage,K10,Particle Density,NULL,PD,particle density specific gravity,BS EN ISO 17892-3:2015,NULL,NULL,NULL,Intact,5,NULL,0.5,2,NULL,NULL,NULL,NULL,4 or 37.5,NULL,database,NULL,"The volume of a known mass of soil is measured in a small (50 mL) or large pycnometer (250-1000 mL). The small pycnometer method is suitable for soils under approximately 4 mm, or soils crushed to meet this requirement. The large pycnometer (gas jar) shall be used for coarse-grained soils with up to 10% of particles retained on the 37.5 mm sieve. If soil consists of particles larger and smaller than 4 mm, the sample shall be separated on the 4 mm sieve and each portion shall be tested by using the appropriate test method. \nThe particle density of the soil shall be the weighted average of the particle density of the portions.The water content of the specimens is determined by oven-drying at 105 – 110 °C or no more than 80 °C (50 °C if gypsum is present) for heat-sensitive samples. \nThe test result is the average of two determinations that do not differ more than 0.03 Mg/m3"
Classification & shrinkage,K132,Bulk density ,"Density by Linear measurement, and Density by water immersion / displacement.",BD,Bulk density (wet & dry) unit weight,BS EN ISO 17892-2:2014,NULL,NULL,NULL,Intact,0.8 2 4 12,Intact,0.2 0.5 1 3,1,38 50 70 100,NULL,NULL,(1.0-2.0)D,NULL,NULL,database,public/testImages/Bulk-density.png,“The bulk density and subsequently the weight density (gravitational constant x bulk density) of intact soil is determined from the mass of soil divided by its volume\nThe specimen volume is obtained from dimensional measurements  i.e. Length x Width x Height for cube or (π x Diameter2/4) x Height for cylinder  or by measuring the volume of displaced fluid  typically water  which equals the volume of the specimen  after immersing waxed or non-waxed irregular specimens in a fluid-filled tank  i.e. mass of displaced fluid = fluid density x fluid volume = mass of specimen before – mass of specimen after immersion in the fluid tank\nTest applies to soil specimens that retain their shape during the measurement process. The specimen density after removal from sampling tubes and compaction moulds may be less than the value based on tube or mould volumes because of specimen swelling after removal of lateral pressures\nTest method also applies to saturated moisture content (SMC) and intact dry density (IDD) of chalk”
Classification & shrinkage,NULL,Saturated moisture content & intact dry density,Saturated Moisture Content (SMC) & Intact Dry Density (IDD) of chalk,SMC,Saturated moisture content intact dry density,BS 1377-2:2022,NULL,NULL,NULL,Lumps,4,Lumps,1,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
