Group,Classification,Test,testAlsoKnownAs,Symbol,Parameter,TestMethod,Alt1,Alt2,Alt3,SampleType,FieldSampleMass,SpecimenType,SpecimenMass,SpecimenNumbers,SpecimenD,SpecimenL,SpecimenW,SpecimenH,SpecimenMaxGrainSize,SpecimenMaxGrainFraction,SchedulingNotes,Database,imagePath,testDescription
Index properties,NULL,Geotechnical description,NULL,S&D,NULL,BS EN ISO 14689-2:2018,NULL,NULL,NULL,Intact or disturbed,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rocks,NULL,NULL
Index properties,K124,Water content,NULL,rWC,water content,ISRM SM 1974–2006,NULL,NULL,NULL,Intact or disturbed,NULL,Pieces of core or irregular ,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rocks,NULL,NULL
Index properties,K125/K126,Porosity & density ,NULL,rBD,bulk density (wet & dry) / unit weight (wet & dry) / porosity,ISRM SM 1974–2006,NULL,NULL,NULL,Intact,NULL,Pieces of core or irregular ,NULL,1,35-100,NULL,NULL,(0.5-2.5)D,NULL,NULL,NULL,rocks,NULL,NULL
Index properties,K141,P- and S-wave velocity,NULL,PnS,shear wave velocity / compression wave velocity / Young's modulus / Poisson's ratio,ASTM D2845-08,NULL,NULL,NULL,Intact,NULL,Core or rectangular pieces,NULL,1,≥50,≥50,≥50,≥50,D /10,NULL,NULL,rocks,NULL,NULL
Strength,NULL,Point load index ,NULL,PLI,point load index / compressive strength,ISRM SM 1974–2006,NULL,NULL,NULL,Intact,NULL,Core or rectangular pieces,NULL,1-10,30-100,>0.5D,(0.3-1.0)D,-,NULL,NULL,Define number of specimens / i.e. 10 or one,rocks,public/testImages/Point-load-test.JPG,“The test is performed by subjecting a rock specimen to an increasingly concentrated load until failure occurs by splitting within\x 10-60 s. The load is applied through coaxial   truncated conical platens The failure load is used to calculate the point load strength index.\nSubsequently   the point load strength index can be used to classify the rocks according to strength. It is also method for estimating the uniaxial compressive strength by using empirically formulated equations If sample is anisotropic or heterogeneous   e.g. foliated   layered   specimens should be tested parallel and normal to the anisotropy or heterogeneity plane to obtain minimum and maximum strength values Testing low-strength (<5 MPa) rock sample is not advisable“
Strength,K139,Uniaxial compressive strength,NULL,UCS,compressive strength,ISRM SM 1974–2006,NULL,NULL,NULL,Intact,NULL,Right circular cylinder,NULL,1,50-100,NULL,NULL,(2.5-3.0)D,D /10,NULL,NULL,rocks,NULL,“A right circular cylinder   e.g. a cylinder whose ends are circular in shape and parallel to each other   is placed in a loading apparatus and compressed axially at constant stress rate of 0.5 – 1.0 MPa/s with no lateral confinement until peak load and failure are obtained (Fig. 1) The ends of the specimen shall be cut and ground parallel to each other and at right angles to the longitudinal axis. The sides of the specimen shall be smooth and free of abrupt irregularities and straight over the full length of the specimen.\n The use of capping materials or end-surface treatments other than machining is not permitted. Simplest and fastest test to evaluate rock strength; fissures or other anomalies will often cause premature failure”
Strength,NULL,Uniaxial compression with Young's modulus & Poisson's ratio,NULL,UCS & YMPR,compressive strength / axial & radial strain / Young's modulus / Poisson's ratio,ISRM SM 1974–2006,ASTM D7012-23,NULL,NULL,Intact,NULL,Right circular cylinder,NULL,1,100,NULL,NULL,(2.5-3.0)D,D /10,NULL,NULL,rocks,public/testImages/Uniaxial-compressive-strength.jpg,“Prepare a right circular cylinder   e.g. a cylinder whose bases are circular in shape and parallel to each other. The cylinder ends are cut and ground parallel to each other and are at right angles to the longitudinal axis of the specimen. The sides of the test specimen are smooth and free of abrupt irregularities and straight over the full length of the specimen. The use of capping materials or end surface treatments other than machining is not permitted If the rock is anisotropic owing to bedding or foliation   or joints   prepare and test specimens normal   parallel   and at an angle to the anisotropy (Fig. 1) The test specimen is constrained by cylindrical platens with Rockwell hardness of HRC 58 or higher.' The diameter of the platens is slightly greater than the specimen diameter by 0-2 mm. The thickness of the platens is 15 mm or 1/3 of the specimen diameter (whichever is greater).\n The flatness of the surfaces of the disc platens should be better than 0.005 mm. To measure the axial and radial strains use strain gauges or LVDTs with strain sensitivity of 5 x 10-6  For determining the entire stress-strain curve   load the specimen at axial or radial strain rate of 0.001 mm/mm/s (0.1% strain/s) up to 70% of the expected peak stress   then   switch to 0.000001 mm/mm/s (0.0001% strain/s) until the post-failure stress drops to 50% of the peak stress Better not load the specimen using a stress rate because the inevitable result is failure. If the force does not monotonically increase in axial displacement   then   the circumferential displacement can be used as the control variable. As the specimen nears failure   special care must be taken to prevent damage to the deformation-measuring equipment other than strain gauges Determine the Young’s modulus & Poisson’s ratio values   which may vary owing to nonlinearity of the stress vs strain data and choose to report values between 40% and 60% of the peak stress (Fig. 2). Report the peak stress and strain at peak stress“
Strength,K143,Triaxial compression ,NULL,TCS,compressive strength,ISRM SM 1974–2006,ASTM D7012-23,NULL,NULL,Intact,NULL,Right circular cylinder,NULL,1 or 3,54,NULL,NULL,(2.0-3.0)D,D /10,NULL,Test one specimen at 1.0 x σ′vo Test three specimens at 0.5 x σ′vo / 1.0 x σ′vo and 2.0 x σ′vo,rocks,public/testImages/Triaxial-compression-Hoek-cell.jpg,A triaxial stress state is achieved by subjecting a right circular cylinder   e.g. a cylinder whose bases are circular in shape and parallel to each other to uniaxial compression in the presence of hydrostatic compression applied by a pressurized fluid (Fig. 1) The ends of the specimen shall be cut and ground parallel to each other and at right angles to the longitudinal axis.\n The sides of the specimen shall be smooth and free of abrupt irregularities and straight over the full length of the specimen. The use of capping materials or end surface treatments other than machining is not permitted The specimen is subjected to constant stress rate of 0.5 – 1.0 MPa/s until peak load is reached.\xAxial and radial strains are measured by strain gauges with strain sensitivity of 5 x 10-6 during the loading stage One specimen is tested at 1.0 x σ′vo or at three different σ’vo conditions. Three specimens are tested at 0.5 x σ′vo 1.0 x σ′vo and 2.0 x σ′vo
Strength,NULL,Triaxial compression with Young's modulus & Poisson's ratio,NULL,TCS & YMPR,compressive strength / axial & radial strain / Young's modulus / Poisson's ratio,ISRM SM 1974–2006,ASTM D7012-23,NULL,NULL,Intact,NULL,Right circular cylinder,NULL,1,NULL,NULL,NULL,NULL,D /10,NULL,Test one specimen at 1.0 x σ′vo,rocks,NULL,NULL
Strength,K142,Indirect tensile strength,NULL,ITS,tensile strength,ISRM SM 1974–2006,ASTM D3967-16,NULL,NULL,Intact,NULL,Disk,NULL,1-10,54,NULL,NULL,(0.20-0.75)D,D /10,NULL,NULL,rocks,NULL,NULL
Strength,K146,Rock shear under constant normal force (CNF) or constant normal stiffness (CNS),NULL,rDS,shear strength,ASTM D5706-16,ISRM SM 1974–2006,NULL,NULL,Intact,NULL,Right circular cylinder,NULL,1 or 3,50-100,NULL,NULL,2D,D /10,NULL,Under CNF conditions / test three specimens at 0.5 x σ′vo / 1.0 x σ′vo and 2.0 x σ′vo Under CNS conditions / test one specimen at σ'vo and define the stiffness rate (kPa /min),rocks,NULL,NULL
Abrasivity - Durability,K131,CERCHAR abrasivity index,NULL,CAI,abrasivity,ISRM SM 2007–2014,ASTM D7625-10,NULL,NULL,Intact,NULL,Right circular cylinder,NULL,1,≥50,≥50,≥50,≥50,NULL,NULL,Wet or dry / or both,rocks,NULL,“The CERCHAR abrasivity test is used to classify the abrasivity of rock samples. The test measures the wear on the tip of a steel stylus having a Rockwell Hardness of HRC 55±1  A disc-shaped or irregular rock specimen is placed in the test apparatus (West-type or Type 2)   and a stylus is loaded onto the rough or saw-cut surface and pulled under a normal force of 70 N for 10 mm within 10 s. Each rock specimen is tested five times using a new stylus each time.\x The wear surface of each stylus tip is measured under a microscope to an accuracy of 0.01 mm   i.e. typically 120-fold magnification   and the final CAI value is the average of five measurements. Specimens can be tested either dry or wet The CAI is dimensionless and is calculated by multiplying the wear surface stated in units of 0.01 mm by 10. For example   if the wear flat of a stylus tip was measured as being 0.25 mm   the corresponding value of CAI should be reported as 2.5.\x When using a sawn surface or a stylus with hardness other than HRC 55   empirical conversions are applied to adjust the CAI”
Abrasivity - Durability,K134,Rock abrasiveness using a rotating tool,NULL,Abr,abrasivity,In-house based on NF P18–579:2013,NULL,NULL,NULL,Disturbed,NULL,Crushed,0.5,1,NULL,NULL,NULL,NULL,NULL,4 /6.3,Define if abrasivity & breakability are to be tested or only abrasivity,rocks,NULL,NULL
Abrasivity - Durability,K147,Swelling (pressure or axial strain),NULL,SP,swelling potential,ISRM SM 1974–2006,NULL,NULL,NULL,Intact or disturbed,NULL,Right circular cylinder or powder,0.2,1,35-75,NULL,-,2D,H /6,NULL,NULL,rocks,NULL,NULL
Abrasivity - Durability,K130,Schimdt hammer,NULL,SH,hardness / compressive strength,ISRM SM revised / Int J Rock Mech Mining Sci (2008),NULL,NULL,NULL,Intact,NULL,Right circular cylinder or blocks, ,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rocks,NULL,NULL
